ts,device,type,value
1761238840.2560453,sht40_sensor_1,humidity,52.29709243774414
1761238841.2231834,sht40_sensor_1,temperature,21.1654052734375
1761238841.2416694,sht40_sensor_1,humidity,52.27229690551758
1761238842.3111756,sht40_sensor_1,temperature,21.170745849609375
1761238842.416207,sht40_sensor_1,humidity,52.2608528137207
1761238843.2192152,sht40_sensor_1,temperature,21.192108154296875
1761238843.2596464,sht40_sensor_1,humidity,52.23414993286133
1761238844.2296696,sht40_sensor_1,temperature,21.205459594726562
1761238844.2392752,sht40_sensor_1,humidity,52.2455940246582
1761238845.2279851,sht40_sensor_1,temperature,21.200119018554688
1761238845.2365973,sht40_sensor_1,humidity,52.2761116027832
1761238846.2497761,sht40_sensor_1,temperature,21.192108154296875
1761238846.2757928,sht40_sensor_1,humidity,52.25894546508789
1761238847.2189772,sht40_sensor_1,temperature,21.216140747070312
1761238847.2331703,sht40_sensor_1,humidity,52.22270584106445
1761238848.223883,sht40_sensor_1,temperature,21.178756713867188
1761238848.23684,sht40_sensor_1,humidity,52.194095611572266
1761238849.2267637,sht40_sensor_1,temperature,21.173416137695312
1761238849.2357554,sht40_sensor_1,humidity,52.15213394165039
1761238850.2216537,sht40_sensor_1,temperature,21.192108154296875
1761238850.248604,sht40_sensor_1,humidity,52.178836822509766
1761238851.2352927,sht40_sensor_1,temperature,21.200119018554688
1761238851.2547739,sht40_sensor_1,humidity,52.163578033447266
1761238852.2274463,sht40_sensor_1,temperature,21.1654052734375
1761238852.2470503,sht40_sensor_1,humidity,52.178836822509766
1761238853.2383325,sht40_sensor_1,temperature,21.162734985351562
1761238853.2513258,sht40_sensor_1,humidity,52.17502212524414
1761238854.231229,sht40_sensor_1,temperature,21.19744873046875
1761238854.2440946,sht40_sensor_1,humidity,52.201725006103516
1761238855.2229557,sht40_sensor_1,temperature,21.186767578125
1761238855.2354696,sht40_sensor_1,humidity,52.224613189697266
1761238856.225904,sht40_sensor_1,temperature,21.17608642578125
1761238856.2335732,sht40_sensor_1,humidity,52.209354400634766
1761238857.244256,sht40_sensor_1,temperature,21.1654052734375
1761238857.276025,sht40_sensor_1,humidity,52.1998176574707
1761238858.2336636,sht40_sensor_1,temperature,21.162734985351562
1761238858.3754513,sht40_sensor_1,humidity,52.23605728149414
1761238859.2244391,sht40_sensor_1,temperature,21.17608642578125
1761238859.2488248,sht40_sensor_1,humidity,52.38292694091797
1761238860.2246578,sht40_sensor_1,temperature,21.186767578125
1761238860.235005,sht40_sensor_1,humidity,52.434425354003906
1761238861.2272904,sht40_sensor_1,temperature,21.1654052734375
1761238861.2357252,sht40_sensor_1,humidity,52.426795959472656
1761238862.2237804,sht40_sensor_1,temperature,21.160064697265625
1761238862.2323709,sht40_sensor_1,humidity,52.487831115722656
1761238863.2357903,sht40_sensor_1,temperature,21.17608642578125
1761238863.278892,sht40_sensor_1,humidity,52.65377426147461
1761238864.2189682,sht40_sensor_1,temperature,21.184097290039062
1761238864.2271078,sht40_sensor_1,humidity,52.73769760131836
1761238865.2188687,sht40_sensor_1,temperature,21.184097290039062
1761238865.242081,sht40_sensor_1,humidity,52.7891960144043
1761239283.1917627,sht40_sensor_1,temperature,21.54192352294922
1761239283.2029262,sht40_sensor_1,humidity,51.0439453125
1761239284.1863742,sht40_sensor_1,temperature,21.544593811035156
1761239284.1961815,sht40_sensor_1,humidity,51.032501220703125
1761239285.1802697,sht40_sensor_1,temperature,21.54192352294922
1761239285.1946604,sht40_sensor_1,humidity,51.032501220703125
1761239286.1882708,sht40_sensor_1,temperature,21.557945251464844
1761239286.2115998,sht40_sensor_1,humidity,51.00770568847656
1761239287.183771,sht40_sensor_1,temperature,21.56328582763672
1761239287.1957834,sht40_sensor_1,humidity,50.9981689453125
1761239288.1885178,sht40_sensor_1,temperature,21.565956115722656
1761239288.2087884,sht40_sensor_1,humidity,50.98481750488281
1761239289.1855621,sht40_sensor_1,temperature,21.55260467529297
1761239289.1943603,sht40_sensor_1,humidity,50.99244689941406
1761239290.1810758,sht40_sensor_1,temperature,21.56061553955078
1761239290.1951163,sht40_sensor_1,humidity,50.986724853515625
1761239291.1826212,sht40_sensor_1,temperature,21.579307556152344
1761239291.1929686,sht40_sensor_1,humidity,50.994354248046875
1761239292.1827745,sht40_sensor_1,temperature,21.54993438720703
1761239292.2027912,sht40_sensor_1,humidity,50.97718811035156
1761239293.1812053,sht40_sensor_1,temperature,21.576637268066406
1761239293.1996403,sht40_sensor_1,humidity,50.98100280761719
1761239294.1814244,sht40_sensor_1,temperature,21.56061553955078
1761239294.1887581,sht40_sensor_1,humidity,51.12977981567383
1761239295.1891012,sht40_sensor_1,temperature,21.57129669189453
1761239295.1979332,sht40_sensor_1,humidity,51.20798110961914
1761239296.1909664,sht40_sensor_1,temperature,21.56328582763672
1761239296.210058,sht40_sensor_1,humidity,51.211795806884766
1761239297.1838589,sht40_sensor_1,temperature,21.58197784423828
1761239297.1921797,sht40_sensor_1,humidity,51.25375747680664
1761239298.1864905,sht40_sensor_1,temperature,21.60334014892578
1761239298.2020938,sht40_sensor_1,humidity,51.196537017822266
1761239299.1816936,sht40_sensor_1,temperature,21.608680725097656
1761239299.19317,sht40_sensor_1,humidity,51.17937088012695
1761239300.182726,sht40_sensor_1,temperature,21.587318420410156
1761239300.1957917,sht40_sensor_1,humidity,51.14503860473633
1761239301.182895,sht40_sensor_1,temperature,21.597999572753906
1761239301.1978393,sht40_sensor_1,humidity,51.074462890625
1761239302.1830783,sht40_sensor_1,temperature,21.59532928466797
1761239302.193821,sht40_sensor_1,humidity,51.0286865234375
1761239303.1824303,sht40_sensor_1,temperature,21.579307556152344
1761239303.2000272,sht40_sensor_1,humidity,50.96192932128906
1761239304.1831508,sht40_sensor_1,temperature,21.587318420410156
1761239304.1959589,sht40_sensor_1,humidity,50.93522644042969
1761239305.1813157,sht40_sensor_1,temperature,21.60601043701172
